date,window,baseline_latest,00632r_zero_to_cash,baseline_00632r_weight,guarded_cash_weight
2021-01-19,full_2020_2026,1446768.3742304258,1446768.3742304258,0.0,0.17833154737222945
2021-01-20,full_2020_2026,1439462.743867611,1439462.743867611,0.0,0.17833154737222945
2021-01-21,full_2020_2026,1486733.4020582372,1486733.4020582372,0.0,0.17833154737222945
2021-01-22,full_2020_2026,1468225.7181753586,1468225.7181753586,0.0,0.17833154737222945
2021-01-25,full_2020_2026,1453141.082299105,1453141.082299105,0.0,0.17833154737222945
2021-01-26,full_2020_2026,1422430.751984484,1422430.751984484,0.0,0.17833154737222945
2021-01-27,full_2020_2026,1426448.831018182,1426448.831018182,0.0,0.17833154737222945
2021-01-28,full_2020_2026,1396548.3448477024,1396548.3448477024,0.0,0.17833154737222945
2021-01-29,full_2020_2026,1369893.8617939698,1369893.8617939698,0.0,0.17833154737222945
2021-02-01,full_2020_2026,1397244.2709972803,1397244.2709972803,0.0,0.17833154737222945
2021-02-02,full_2020_2026,1435325.5044890274,1435325.5044890274,0.0,0.17833154737222945
2021-02-03,full_2020_2026,1436936.3722855304,1436936.3722855304,0.0,0.17833154737222945
2021-02-04,full_2020_2026,1426903.3253566418,1426903.3253566418,0.0,0.17833154737222945
2021-02-05,full_2020_2026,1440944.4477205686,1440944.4477205686,0.0,0.17833154737222945
2021-02-17,full_2020_2026,1503678.630453582,1503678.630453582,0.0,0.17833154737222945
2021-02-18,full_2020_2026,1507125.9615742615,1507125.9615742615,0.0,0.17833154737222945
2021-02-19,full_2020_2026,1492647.6081700246,1492647.6081700246,0.0,0.17833154737222945
2021-02-22,full_2020_2026,1495914.6742127142,1495914.6742127142,0.0,0.17833154737222945
2021-02-23,full_2020_2026,1498279.8412376028,1498279.8412376028,0.0,0.17833154737222945
2021-02-24,full_2020_2026,1472293.8445268255,1472293.8445268255,0.0,0.17833154737222945
2021-02-25,full_2020_2026,1490131.295483787,1490131.295483787,0.0,0.17833154737222945
2021-02-26,full_2020_2026,1440448.67872216,1440448.67872216,0.0,0.17833154737222945
2021-03-02,full_2020_2026,1440683.5433983752,1440683.5433983752,0.0,0.17833154737222945
2021-03-03,full_2020_2026,1466943.903845219,1466943.903845219,0.0,0.17833154737222945
2021-03-04,full_2020_2026,1438737.911815592,1438737.911815592,0.0,0.17833154737222945
2021-03-05,full_2020_2026,1429954.273112705,1429954.273112705,0.0,0.17833154737222945
2021-03-08,full_2020_2026,1428852.2256544484,1428852.2256544484,0.0,0.17833154737222945
2021-03-09,full_2020_2026,1427465.8561419118,1427465.8561419118,0.0,0.17833154737222945
2021-03-10,full_2020_2026,1433679.4993200111,1433679.4993200111,0.0,0.17833154737222945
2021-03-11,full_2020_2026,1465964.8811025391,1465964.8811025391,0.0,0.17833154737222945
2021-03-12,full_2020_2026,1470853.1738464455,1470853.1738464455,0.0,0.17833154737222945
2021-03-15,full_2020_2026,1469109.264219291,1469109.264219291,0.0,0.17833154737222945
2021-03-16,full_2020_2026,1476468.4592645327,1476468.4592645327,0.0,0.17833154737222945
2021-03-17,full_2020_2026,1464075.2883097837,1464075.2883097837,0.0,0.17833154737222945
2021-03-18,full_2020_2026,1474960.7066739295,1474960.7066739295,0.0,0.17833154737222945
2021-03-19,full_2020_2026,1450242.7482376536,1450242.7482376536,0.0,0.17833154737222945
2021-03-22,full_2020_2026,1461083.0690819705,1461083.0690819705,0.0,0.17833154737222945
2021-03-23,full_2020_2026,1462463.176679511,1462463.176679511,0.0,0.17833154737222945
2021-03-24,full_2020_2026,1442470.0153267975,1442470.0153267975,0.0,0.17833154737222945
2021-03-25,full_2020_2026,1448338.4879912753,1448338.4879912753,0.0,0.17833154737222945
2021-03-26,full_2020_2026,1476251.7163896617,1476251.7163896617,0.0,0.17833154737222945
2021-03-29,full_2020_2026,1490594.315308867,1490594.315308867,0.0,0.17833154737222945
2021-03-30,full_2020_2026,1499740.877691859,1499740.877691859,0.0,0.17833154737222945
2021-03-31,full_2020_2026,1487946.6329198652,1487946.6329198652,0.0,0.17833154737222945
2021-04-01,full_2020_2026,1499388.0574463066,1499388.0574463066,0.0,0.17833154737222945
2021-04-07,full_2020_2026,1526001.980607755,1526001.980607755,0.0,0.17833154737222945
2021-04-08,full_2020_2026,1536788.8997003213,1536788.8997003213,0.0,0.17833154737222945
2021-04-09,full_2020_2026,1532716.6201874055,1532716.6201874055,0.0,0.17833154737222945
2021-04-12,full_2020_2026,1529396.6089935675,1529396.6089935675,0.0,0.17833154737222945
2021-04-13,full_2020_2026,1526072.796096025,1526072.796096025,0.0,0.17833154737222945
2021-04-14,full_2020_2026,1530091.0231217355,1530091.0231217355,0.0,0.17833154737222945
2021-04-15,full_2020_2026,1547807.1944728415,1547807.1944728415,0.0,0.17833154737222945
2021-04-16,full_2020_2026,1555613.669900035,1555613.669900035,0.0,0.17833154737222945
2021-04-19,full_2020_2026,1564921.1429750635,1564921.1429750635,0.0,0.17833154737222945
2021-04-20,full_2020_2026,1565262.6753639155,1565262.6753639155,0.0,0.17833154737222945
2021-04-21,full_2020_2026,1553894.3472973239,1553894.3472973239,0.0,0.17833154737222945
2021-04-22,full_2020_2026,1549192.7873929525,1549192.7873929525,0.0,0.17833154737222945
2021-04-23,full_2020_2026,1564024.455773482,1564024.455773482,0.0,0.17833154737222945
2021-04-26,full_2020_2026,1592553.5737486673,1592553.5737486673,0.0,0.17833154737222945
2021-04-27,full_2020_2026,1594351.2959851935,1594351.2959851935,0.0,0.17833154737222945
2021-04-28,full_2020_2026,1586177.4835415082,1586177.4835415082,0.0,0.17833154737222945
2021-04-29,full_2020_2026,1589451.643163397,1589451.643163397,0.0,0.17833154737222945
2021-05-03,full_2020_2026,1557392.3074953328,1557392.3074953328,0.0,0.17833154737222945
2021-05-04,full_2020_2026,1534278.3920841655,1534278.3920841655,0.0,0.17833154737222945
2021-05-05,full_2020_2026,1519280.3465779503,1519280.3465779503,0.0,0.17833154737222945
2021-05-06,full_2020_2026,1534532.677955899,1534532.677955899,0.0,0.17833154737222945
2021-05-07,full_2020_2026,1567218.4178687874,1567218.4178687874,0.0,0.17833154737222945
2021-05-10,full_2020_2026,1559500.8359182542,1559500.8359182542,0.0,0.17833154737222945
2021-05-11,full_2020_2026,1491900.8192678606,1491900.8192678606,0.0,0.17833154737222945
2021-05-12,full_2020_2026,1426996.5810495913,1426996.5810495913,0.0,0.48
2021-05-13,full_2020_2026,1417820.3888946273,1417820.3888946273,0.0,0.48
2021-05-14,full_2020_2026,1423002.9177319654,1423002.9177319654,0.0,0.48
2021-05-17,full_2020_2026,1405918.5809390352,1405918.5809390352,0.0,0.48
2021-05-18,full_2020_2026,1438868.2312721603,1438868.2312721603,0.0,0.48
2021-05-19,full_2020_2026,1435902.5136307497,1435902.5136307497,0.0,0.48
2021-05-20,full_2020_2026,1430802.6524655912,1430802.6524655912,0.0,0.48
2021-05-21,full_2020_2026,1441808.8726330982,1441808.8726330982,0.0,0.48
2021-05-24,full_2020_2026,1440926.5952016786,1440926.5952016786,0.0,0.48
2021-05-25,full_2020_2026,1450594.6118729177,1450594.6118729177,0.0,0.07967676275215274
2021-05-26,full_2020_2026,1451832.0626496528,1451832.0626496528,0.0,0.07967676275215274
2021-05-27,full_2020_2026,1444253.557773343,1444253.557773343,0.0,0.07967676275215274
2021-05-28,full_2020_2026,1466926.589337591,1466926.589337591,0.0,0.17833154737222945
2021-05-31,full_2020_2026,1480030.768256058,1480030.768256058,0.0,0.17833154737222945
2021-06-01,full_2020_2026,1488309.5060893635,1488309.5060893635,0.0,0.17833154737222945
2021-06-02,full_2020_2026,1488703.4970012975,1488703.4970012975,0.0,0.17833154737222945
2021-06-03,full_2020_2026,1492369.2150798377,1492369.2150798377,0.0,0.17833154737222945
2021-06-04,full_2020_2026,1484516.7456048825,1484516.7456048825,0.0,0.17833154737222945
2021-06-07,full_2020_2026,1485222.0118571902,1485222.0118571902,0.0,0.17833154737222945
2021-06-08,full_2020_2026,1478983.1978503347,1478983.1978503347,0.0,0.17833154737222945
2021-06-09,full_2020_2026,1468499.1749931963,1468499.1749931963,0.0,0.17833154737222945
2021-06-10,full_2020_2026,1487740.1268759216,1487740.1268759216,0.0,0.17833154737222945
2021-06-11,full_2020_2026,1492636.5882236287,1492636.5882236287,0.0,0.17833154737222945
2021-06-15,full_2020_2026,1502406.1548811735,1502406.1548811735,0.0,0.17833154737222945
2021-06-16,full_2020_2026,1499953.8748819646,1499953.8748819646,0.0,0.17833154737222945
2021-06-17,full_2020_2026,1499152.8528255972,1499152.8528255972,0.0,0.17833154737222945
2021-06-18,full_2020_2026,1496658.1344432828,1496658.1344432828,0.0,0.17833154737222945
2021-06-21,full_2020_2026,1464598.5530231677,1464598.5530231677,0.0,0.48
2021-06-22,full_2020_2026,1465666.5561335988,1465666.5561335988,0.0,0.48
2021-06-23,full_2020_2026,1476564.696441446,1476564.696441446,0.0,0.48
2021-06-24,full_2020_2026,1474959.324853504,1474959.324853504,0.0,0.48
2021-06-25,full_2020_2026,1476379.106287863,1476379.106287863,0.0,0.48
2021-06-28,full_2020_2026,1476908.7487107397,1476908.7487107397,0.0,0.17833154737222945
2021-06-29,full_2020_2026,1477395.204497391,1477395.204497391,0.0,0.17833154737222945
2021-06-30,full_2020_2026,1491995.694395278,1491995.694395278,0.0,0.17833154737222945
2021-07-01,full_2020_2026,1484611.5132349073,1484611.5132349073,0.0,0.17833154737222945
2021-07-02,full_2020_2026,1485333.9694498251,1485333.9694498251,0.0,0.17833154737222945
2021-07-05,full_2020_2026,1502283.7275886284,1502283.7275886284,0.0,0.17833154737222945
2021-07-06,full_2020_2026,1503232.3560701497,1503232.3560701497,0.0,0.17833154737222945
2021-07-07,full_2020_2026,1494747.6201354424,1494747.6201354424,0.0,0.17833154737222945
2021-07-08,full_2020_2026,1496066.96218224,1496066.96218224,0.0,0.17833154737222945
2021-07-09,full_2020_2026,1483126.0606429968,1483126.0606429968,0.0,0.17833154737222945
2021-07-12,full_2020_2026,1497022.2476613084,1497022.2476613084,0.0,0.17833154737222945
2021-07-13,full_2020_2026,1503999.323995288,1503999.323995288,0.0,0.17833154737222945
2021-07-14,full_2020_2026,1506037.5628210912,1506037.5628210912,0.0,0.17833154737222945
2021-07-15,full_2020_2026,1519788.1389408251,1519788.1389408251,0.0,0.17833154737222945
2021-07-16,full_2020_2026,1506142.1891175276,1506142.1891175276,0.0,0.17833154737222945
2021-07-19,full_2020_2026,1492418.8941059965,1492418.8941059965,0.0,0.17833154737222945
2021-07-20,full_2020_2026,1477242.7834281232,1477242.7834281232,0.0,0.17833154737222945
2021-07-21,full_2020_2026,1475187.9751601112,1475187.9751601112,0.0,0.17833154737222945
2021-07-22,full_2020_2026,1486683.880476941,1486683.880476941,0.0,0.17833154737222945
2021-07-23,full_2020_2026,1487044.122787578,1487044.122787578,0.0,0.17833154737222945
2021-07-26,full_2020_2026,1474430.0600227313,1474430.0600227313,0.0,0.17833154737222945
2021-07-27,full_2020_2026,1472811.2054178454,1472811.2054178454,0.0,0.17833154737222945
2021-07-28,full_2020_2026,1451478.1561676906,1451478.1561676906,0.0,0.48
2021-07-29,full_2020_2026,1462331.4367085055,1462331.4367085055,0.0,0.48
2021-07-30,full_2020_2026,1460706.09465268,1460706.09465268,0.0,0.48
2021-08-02,full_2020_2026,1469074.4840161726,1469074.4840161726,0.0,0.07967676275215274
2021-08-03,full_2020_2026,1473795.076250271,1473795.076250271,0.0,0.17833154737222945
2021-08-04,full_2020_2026,1481878.6860871909,1481878.6860871909,0.0,0.17833154737222945
2021-08-05,full_2020_2026,1478914.0280542525,1478914.0280542525,0.0,0.17833154737222945
2021-08-06,full_2020_2026,1475841.5262185293,1475841.5262185293,0.0,0.17833154737222945
2021-08-09,full_2020_2026,1470691.8853373262,1470691.8853373262,0.0,0.17833154737222945
2021-08-10,full_2020_2026,1462157.489821653,1462157.489821653,0.0,0.17833154737222945
2021-08-11,full_2020_2026,1456766.0224278523,1456766.0224278523,0.0,0.17833154737222945
2021-08-12,full_2020_2026,1454119.9019598528,1454119.9019598528,0.0,0.17833154737222945
2021-08-13,full_2020_2026,1439573.812412523,1439573.812412523,0.0,0.17833154737222945
2021-08-16,full_2020_2026,1432029.7831804242,1432029.7831804242,0.0,0.48
2021-08-17,full_2020_2026,1427160.5096732844,1427160.5096732844,0.0,0.48
2021-08-18,full_2020_2026,1429846.5243224064,1429846.5243224064,0.0,0.48
2021-08-19,full_2020_2026,1414775.7014461206,1414775.7014461206,0.0,0.48
2021-08-20,full_2020_2026,1410053.2339570313,1410053.2339570313,0.0,0.48
