date,window,fixed_10pct,raw_gate,debounce_2of3,debounce_3of3,fixed_10pct_00713_weight,raw_gate_00713_weight
2025-05-07,ncf_panel_2025_2026,958460.956623394,953581.0095632286,955877.4574763837,955872.2471802899,0.1,0.1
2025-05-08,ncf_panel_2025_2026,963354.7356731476,958717.7038317679,960923.3765175426,960954.7463888936,0.1,0.1
2025-05-09,ncf_panel_2025_2026,968699.8119117856,964276.8064199069,966396.7695044241,966463.5064392136,0.1,0.1
2025-05-12,ncf_panel_2025_2026,972588.8544792223,968385.9032200786,970426.6516329277,970524.873941375,0.1,0.1
2025-05-13,ncf_panel_2025_2026,977084.8487845976,973118.8948740265,975072.6242199795,975205.689779001,0.1,0.1
2025-05-14,ncf_panel_2025_2026,986214.4108451325,982677.0254429101,984467.8543411618,984666.9619875627,0.1,0.1
2025-05-15,ncf_panel_2025_2026,986038.3809915439,982439.0390036837,984247.075166574,984440.1080741403,0.1,0.1
2025-05-16,ncf_panel_2025_2026,987744.3816862159,984182.2900151816,985971.1072698093,986172.6508287126,0.1,0.1
2025-05-19,ncf_panel_2025_2026,982034.5549198495,978201.5828378331,980093.0267257458,980253.0117792538,0.1,0.1
2025-05-20,ncf_panel_2025_2026,982672.126233446,978880.2877267322,980757.4201082268,980923.0191656476,0.1,0.1
2025-05-21,ncf_panel_2025_2026,988999.0851920033,985503.1327070799,987267.6654273224,987478.9327415685,0.1,0.1
2025-05-22,ncf_panel_2025_2026,984439.3979878696,980733.1923989006,982578.0910321719,982756.7132422063,0.1,0.1
2025-05-23,ncf_panel_2025_2026,982682.338596134,978898.56426638,980773.5273975543,980939.8785767737,0.1,0.1
2025-05-26,ncf_panel_2025_2026,982264.0828219143,978458.260975464,980341.3193631542,980504.4291257357,0.1,0.1
2025-05-27,ncf_panel_2025_2026,978540.882455799,974568.9006619938,976516.1350783573,976653.08232716,0.1,0.1
2025-05-28,ncf_panel_2025_2026,979168.2342086928,975229.322007943,977164.4141571139,977306.2232835881,0.1,0.1
2025-05-29,ncf_panel_2025_2026,979438.6012471184,975559.0937236466,977477.1240221797,977625.0661109643,0.1,0.1
