dt,0050_close,ma_gap,drawdown,exit_momentum,inst_0050_5d,foreign_0050_5d,margin_0050_balance_chg_5d,market_margin_balance_chg_5d,tdcc_0050_minority_chg_1w,tdcc_0050_major_chg_1w,foreign_shareholding_0050_ratio_chg_5d,short_0050_margin_balance_chg_5d,short_0050_sbl_balance_chg_5d,securities_lending_0050_volume_5d,day_trade_0050_volume_5d,dealer_tx_volume_5d,dealer_txo_volume_5d,tx_foreign_net_oi,tx_foreign_net_oi_chg_5d,txo_foreign_call_net_oi,txo_foreign_put_net_oi,txo_foreign_put_call_net_oi,txo_foreign_put_call_net_oi_chg_5d,smart_money_cost_20d,smart_money_cost_60d,smart_money_cost_gap_20d,smart_money_cost_gap_60d,smart_money_pressure_20d,smart_money_cost_risk,return_0050_1d,hist_var_0050_20d_5pct,realized_vol_0050_20d,realized_vol_0050_60d,realized_vol_ratio_20_60,tail_var_breach_risk,tail_vol_regime_risk,tail_risk_score,chip_inst_risk,chip_foreign_risk,chip_margin_risk,chip_market_margin_risk,chip_tdcc_risk,chip_foreign_shareholding_risk,chip_short_balance_risk,chip_securities_lending_risk,chip_day_trading_risk,chip_dealer_tx_risk,chip_dealer_txo_risk,chip_score,derivative_futures_foreign_risk,derivative_options_foreign_risk,derivative_score,total_risk_score,base_regime,execution_regime,portfolio_value
2025-11-05,63.150001525878906,0.16520710892731905,-0.024710401144727334,-0.019409937428304103,-342484133.0,-215009054.0,726.0,-44168.0,-0.46999999999999886,0.7600000000000016,-0.3999999999999999,-91000.0,37777000.0,6831.0,0.0,797288.0,6181968.0,-32088.0,-7667.0,8883.0,3216.0,-5667.0,836.0,64.01210521759475,54.81677607629764,-0.013467822824844156,0.15201961965042465,14726370.0,0,-0.012509761180865664,-0.012638241981298138,0.21030099820026216,0.17320531553502613,1.2141717334173523,0,1,1,1,1,1,0,0,1,1,0,0,0,1,6,1,0,1,7,golden1,golden1,1313806.095381304
2025-11-06,63.29999923706055,0.1645073449590302,-0.022393834176671068,-0.01708078047756456,-332443737.0,-207155632.0,649.0,64504.0,-0.46999999999999886,0.7600000000000016,-0.13000000000000078,-141000.0,28453000.0,7153.0,0.0,817902.0,5950962.0,-29917.0,-5171.0,10018.0,2128.0,-7890.0,-2284.0,64.01210521759475,54.92798117585117,-0.011124551803343485,0.15241809150797803,14726370.0,0,0.0023752606105666985,-0.012638241981298138,0.18868745703056977,0.173088740942807,1.0901197617060314,0,0,0,1,1,1,1,0,1,1,0,0,0,0,6,1,0,1,7,golden1,golden1,1321828.6861509338
2025-11-07,62.54999923706055,0.14746164920331872,-0.03397684575968263,-0.03397684575968263,-384574140.0,-261451655.0,1243.0,42111.0,0.6699999999999946,-1.0700000000000003,0.16000000000000014,-151000.0,29059000.0,2153.0,0.0,855202.0,6131080.0,-30820.0,-7884.0,9672.0,2030.0,-7642.0,-880.0,64.01209807940036,54.997824626495934,-0.022840976724840867,0.13731769686989126,14726665.0,0,-0.011848341375032656,-0.012638241981298138,0.19107632504070785,0.1755441674289055,1.0884800551296745,0,0,0,1,1,1,1,1,0,1,0,0,0,1,7,1,0,1,8,golden1,golden1,1303490.4491762596
2025-11-10,63.349998474121094,0.15869659632544275,-0.021621645187319016,-0.012470818904580683,-310067925.0,-231351908.0,966.0,43342.0,0.6699999999999946,-1.0700000000000003,-0.07000000000000028,-103000.0,9650000.0,1598.0,0.0,853814.0,6134222.0,-30589.0,-2709.0,9723.0,911.0,-8812.0,-2043.0,64.01209807940036,55.09176399652419,-0.010343351103068055,0.1498996198073803,14726665.0,0,0.012789756144178321,-0.012638241981298138,0.19434224571028624,0.176663542823079,1.1000698989995445,0,0,0,1,1,1,1,1,1,1,0,0,0,1,8,1,0,1,9,golden1,golden1,1320794.594105756
2025-11-11,62.900001525878906,0.14724918089484573,-0.028571405005731187,-0.016419065278089007,-329287634.0,-229976511.0,831.0,97959.0,0.6699999999999946,-1.0700000000000003,-0.20999999999999996,-116000.0,-5307000.0,1598.0,0.0,815572.0,5915294.0,-31530.0,-3688.0,8713.0,-568.0,-9281.0,-2697.0,64.01240675225937,55.24830540747689,-0.01737796284844728,0.13849648531240732,14725156.0,0,-0.007103345841847353,-0.012638241981298138,0.19254148485979575,0.1775062002559566,1.084702869996422,0,0,0,1,1,1,1,1,1,0,0,0,0,0,6,1,0,1,7,golden1,golden1,1310324.0793463418
2025-11-12,63.20000076293945,0.1493458658392095,-0.023938212155375282,0.0007917535368555662,-208026228.0,-142672071.0,154.0,133884.0,0.6699999999999946,-1.0700000000000003,0.27,48000.0,-19521000.0,1903.0,0.0,708146.0,5221118.0,-29964.0,2124.0,11421.0,1542.0,-9879.0,-4212.0,64.01240388336193,55.24830682496366,-0.012691339039583083,0.14392647295360828,14725208.0,0,0.004769463112606065,-0.012638241981298138,0.19125541089727321,0.17701970262149042,1.0804187786159718,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3,0,0,0,3,golden1,golden1,1319570.7658629392
2025-11-13,62.900001525878906,0.14059824892664574,-0.028571405005731187,-0.006319079241749015,-232659539.0,-163508886.0,531.0,67316.0,0.6699999999999946,-1.0700000000000003,0.0,42000.0,-22975000.0,2181.0,0.0,711798.0,5306354.0,-31514.0,-1597.0,11006.0,1198.0,-9808.0,-1918.0,64.01240500591521,55.248317566656894,-0.017377936041201858,0.1384962347494163,14725383.0,0,-0.00474682331390841,-0.012638241981298138,0.18287169940815295,0.17762403101487534,1.0295436848454258,0,0,0,1,1,1,1,1,0,1,0,0,0,0,6,1,0,1,7,golden1,golden1,1313984.9468722895
2025-11-14,61.70000076293945,0.11579089247599961,-0.0471042353213984,-0.013589104468245572,-334334943.0,-221240516.0,794.0,-10150.0,-0.21000000000000085,0.629999999999999,-0.6600000000000001,-111000.0,74000.0,5399.0,0.0,716306.0,5339932.0,-34595.0,-3775.0,10631.0,2605.0,-8026.0,-384.0,64.01228393807419,55.24833461891448,-0.03612249138574175,0.11677575783101024,14726154.0,0,-0.019077913097438337,-0.01527930398491129,0.18234910366639598,0.1832323384548729,0.9951797002869422,1,0,1,1,1,1,0,0,1,1,0,0,0,0,5,1,0,1,6,golden1,golden1,1285651.8577690306
2025-11-17,61.900001525878906,0.11649822379113828,-0.0440154204497466,-0.02288866587478322,-474838423.0,-322943935.0,746.0,-25744.0,-0.21000000000000085,0.629999999999999,-0.3799999999999999,-130000.0,15124000.0,5399.0,0.0,872248.0,5277494.0,-31526.0,-937.0,9662.0,-1116.0,-10778.0,-1966.0,64.0123432368619,55.24833461891448,-0.03299897495029658,0.12039579025948055,14725709.0,0,0.0032415034111246133,-0.012838168776694296,0.17500889486881413,0.18300942599163078,0.9562835024509474,0,0,0,1,1,1,0,0,1,1,0,0,0,0,5,1,0,1,6,golden1,golden1,1290072.7838121995
2025-11-18,60.45000076293945,0.08793660203967413,-0.06640925462641767,-0.03895072660580856,-594187811.0,-428118189.0,1594.0,-76174.0,-0.21000000000000085,0.629999999999999,-0.56,-196000.0,32071000.0,5712.0,0.0,1037938.0,5641842.0,-35047.0,-3517.0,8975.0,2050.0,-6925.0,2356.0,64.01221018960526,55.248358621965956,-0.055648905359063194,0.09415016609933091,14726259.0,0,-0.02342489058474806,-0.019295261971803822,0.18155058704486618,0.17981475210435152,1.0096534623561213,1,0,1,1,1,1,0,0,1,1,0,0,1,0,6,1,0,1,7,golden1,golden1,1257544.5415761827
