,0050.TW,0056.TW,00646.TW,00679B.TWO,00713.TW,00751B.TWO,00878.TW,2884.TW,total,daily_return,cumulative_return
2026-01-14 00:00:00+08:00,72276.86343383789,595205.929145813,2208.0,623861.795425415,237512.7407913208,32026.172637939453,303958.9388580322,645.9999847412109,1867696.4402770996,0.002357508269331232,10.137697852007605
2026-01-15 00:00:00+08:00,72174.7035522461,595989.9516296387,2200.0,627277.0862579346,238666.82988739014,32154.51431274414,304502.679977417,649.0000152587891,1873614.7656326294,0.0031687833353966077,10.137697852007605
2026-01-16 00:00:00+08:00,73553.84219360352,599909.9387054443,2201.60009765625,626594.0456390381,238897.64055633545,32134.769439697266,307901.1675338745,653.0000305175781,1881846.004196167,0.004393239589333797,10.137697852007605
2026-01-19 00:00:00+08:00,74166.78567504883,602418.6853103638,2179.199951171875,619080.379486084,239820.91898345947,31789.234161376953,310076.18479156494,660.0,1880191.3883590698,-0.0008792514549053054,10.137697852007605
2026-01-20 00:00:00+08:00,74166.78567504883,602889.0988006592,2184.0,620218.7805175781,240051.72965240479,31868.21174621582,310483.9906311035,661.9999694824219,1882524.5969924927,0.0012409420912511404,10.137697852007605
2026-01-21 00:00:00+08:00,73400.59841918945,599125.9162216187,2168.0,618397.294998169,238897.64055633545,31789.234161376953,308037.1028137207,666.9999694824219,1872482.7871398926,-0.0053342250447313555,10.137697852007605
2026-01-22 00:00:00+08:00,74384.8031616211,605800.0094566345,2190.39990234375,621584.9056243896,239128.45122528076,32085.407257080078,311027.7317504883,670.0,1886871.7083778381,0.007684407748240973,10.137697852007605
2026-01-23 00:00:00+08:00,74851.0,605318.7537689209,2195.199951171875,622267.9901123047,238436.01921844482,32154.51431274414,312387.13732910156,665.0,1888275.614692688,0.0007440390931807705,10.137697852007605
2026-01-26 00:00:00+08:00,74851.0,613340.413066864,2177.60009765625,621357.2692871094,240513.3688659668,32006.423950195312,316465.30128479004,673.0000305175781,1901384.3765830994,0.006942186717030063,10.137697852007605
2026-01-27 00:00:00+08:00,75679.8031616211,617832.5924110413,2201.60009765625,622951.0746002197,240513.3688659668,32006.423950195312,319320.0213317871,671.9999694824219,1911176.88438797,0.005150198942135198,10.137697852007605
2026-01-28 00:00:00+08:00,76871.1968383789,619597.3637237549,2193.60009765625,615892.7249908447,240051.72965240479,31680.63735961914,319591.8918914795,670.0,1906549.1445541382,-0.002421408437719652,10.137697852007605
